Rec No	Cod Imput	Tipo Movim	Fecha Comprob	Periodo Contable	Num Comprob	Descripcion	Importe	Actividad	Tipo Proveedor	Cod Provincia	Nro Ordenpago	Memo
57	53	Facturas Cuenta Corriente	78,535	78,561	1,677	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
58	10,173	Facturas Cuenta Corriente	78,535	78,561	1,677	COMERCIAL EUSEBIA S.A.	1,595.00	0	2	13	0	
59	100,079	Facturas Cuenta Corriente	78,534	78,561	4,012,016	BANCO DE SANTA FE	398.18	0	16	252	0	
60	100,079	Facturas Cuenta Corriente	78,534	78,561	4,012,016	BANCO DE SANTA FE	398.18	0	16	252	0	
61	31,101	Facturas Cuenta Corriente	78,549	78,561	105	MILANESIO OMAR MIGUEL	4,000.00	0	17	13	0	
62	31,101	Facturas Cuenta Corriente	78,542	78,561	213	TALLER METALURGICO LOPEZ	730	0	17	13	0	
63	70,506	Facturas Cuenta Corriente	78,543	78,561	8	SARANZ GUSTAVO DAMIAN	23,850.00	0	18	13	0	
64	201	Facturas Cuenta Corriente	78,535	78,561	70	PIOVANO DANILO PABLO	4,815.80	0	18	13	0	
65	100,080	Facturas Cuenta Corriente	78,535	78,561	70	PIOVANO DANILO PABLO	14,889.62	0	18	13	0	
66	100,081	Facturas Cuenta Corriente	78,544	78,561	3,283	H Y M COMPUTACION	584.3	0	18	252	0	
67	100,052	Facturas Cuenta Corriente	78,536	78,561	96,558,562	SENASA	146.1	0	19	252	0	
68	100,052	Facturas Cuenta Corriente	78,536	78,561	96,557,995	SENASA	63.6	0	19	252	0	
69	100,082	Facturas Cuenta Corriente	78,604	78,621	5,582,041	COMITE DE CUENCA CASTELL.NORTE	3,700.15	0	20	13	0	
70	100,082	Facturas Cuenta Corriente	78,604	78,621	632,241	COMITE DE CUENCA CASTELL.NORTE	474.7	0	20	13	0	
71	60,706	Facturas Cuenta Corriente	78,565	78,589	5,526,884	API	124	0	21	252	0	
72	60,706	Facturas Cuenta Corriente	78,565	78,589	80,326,884	API	824	0	21	252	0	
73	60,706	Facturas Cuenta Corriente	78,565	78,589	24,826,884	API	525	0	21	252	0	
74	60,706	Facturas Cuenta Corriente	78,565	78,589	64,226,884	API	550	0	21	252	0	
75	60,706	Facturas Cuenta Corriente	78,565	78,589	42,226,884	API	824	0	21	252	0	
76	60,706	Facturas Cuenta Corriente	78,565	78,589	5,626,884	API	166	0	21	252	0	
77	60,706	Facturas Cuenta Corriente	78,565	78,589	83,826,884	API	345	0	21	252	0	
78	60,706	Facturas Cuenta Corriente	78,565	78,589	89,926,884	API	301	0	21	252	0	
79	10,041	Ventas Cuenta Corriente	78,590	78,589	25,910	VERONICA S.A.C.I.A.f.e l.	389,692.61	0	3	126	0	
80	100,072	Nota de Débito Emitida	78,590	78,589	2,741	VERONICA S.A.C.I.A.f.e l.	15,587.70	0	3	126	0	
81	10,041	Cobranza	78,611	78,611	1	VERONICA S.A.C.I.A.f.e l.	405,280.31	0	3	126	1	
82	10,008	Facturas Cuenta Corriente	78,590	78,589	126	SANTA CRUZ DANIEL DOMINGO	34,808.99	0	7	13	0	
83	100,086	Documento de Contado	79,292	79,292	5	MANTENIMIENTO CUENTA	510.05	0	8	252	0	
84	60,602	Facturas Cuenta Corriente	78,563	78,589	5	FORNARI PEDRO EMILIO	7,923.00	0	9	252	0	
85	100,076	Facturas Cuenta Corriente	78,563	78,589	1,248	ROSSO EVELIO	3,000.00	0	10	115	0	
86	24	Facturas Cuenta Corriente	78,566	78,589	933	BELTRAMINO ARIEL	1,800.00	0	19	13	0	
87	24	Facturas Cuenta Corriente	78,538	78,590	931	BELTRAMINO ARIEL	1,500.00	0	19	13	0	
88	24	Facturas Cuenta Corriente	78,509	78,562	929	BELTRAMINO ARIEL	1,500.00	0	19	13	0	
89	100,076	Facturas Cuenta Corriente	78,587	78,589	21,211	GOMERIA SANTA EUSEBIA	92.57	0	11	13	0	
90	100,076	Facturas Cuenta Corriente	78,587	78,589	21,210	GOMERIA SANTA EUSEBIA	1,594.93	0	11	13	0	
91	100,076	Facturas Cuenta Corriente	78,551	78,590	21,097	GOMERIA SANTA EUSEBIA	2,926.25	0	11	13	0	
92	100,076	Facturas Cuenta Corriente	78,551	78,590	21,098	GOMERIA SANTA EUSEBIA	154.13	0	11	13	0	
93	31,001	Facturas Cuenta Corriente	78,560	78,590	81	BELTRAMINO EDUARDO N	1,200.00	0	18	13	0	
94	60,501	Facturas Cuenta Corriente	78,571	78,589	551	ABC	170	0	24	252	0	
95	90,456	Facturas Cuenta Corriente	78,568	78,589	70,216	SANCOR SEGUROS	305.69	0	14	18	0	
96	100,077	Facturas Cuenta Corriente	78,576	78,589	150,216	SANCOR SEGUROS	117.05	0	14	18	0	
97	100,077	Facturas Cuenta Corriente	78,576	78,589	15,216	SANCOR SEGUROS	117.05	0	14	18	0	
98	100,077	Facturas Cuenta Corriente	78,576	78,589	152,161	SANCOR SEGUROS	117.05	0	14	18	0	
99	90,482	Facturas Cuenta Corriente	78,577	78,589	21,196	FESSIA VITO P MAQUINARIAS	1,380.90	0	17	111	0	
100	100,083	Facturas Cuenta Corriente	78,577	78,589	21,196	FESSIA VITO P MAQUINARIAS	1,400.00	0	17	111	0	
101	100,083	Facturas Cuenta Corriente	78,571	78,589	38,646	TORRAZA LUIS ORDEÑADORAS	400	0	15	115	0	
102	10,010	Facturas Cuenta Corriente	78,571	78,589	38,646	TORRAZA LUIS ORDEÑADORAS	6,294.53	0	15	115	0	
103	10,187	Facturas Cuenta Corriente	78,576	78,589	1,145,120	EPE	2,612.02	0	25	208	0	
104	10,187	Facturas Cuenta Corriente	78,576	78,589	1,145,121	EPE	984.03	0	25	208	0	
105	100,084	Facturas Cuenta Corriente	78,562	78,589	40	PUSSETTO JORGE Y KESSEL CRISTI	272,550.00	0	18	13	0	
106	31,001	Facturas Cuenta Corriente	78,572	78,589	233	TALLER METALURGICO LOPEZ	1,255.97	0	17	13	0	
107	53	Facturas Cuenta Corriente	78,585	78,589	2,097	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
108	125	Facturas Cuenta Corriente	78,585	78,589	2,097	COMERCIAL EUSEBIA S.A.	14,547.44	0	2	13	0	
109	10,018	Facturas Cuenta Corriente	78,585	78,589	2,097	COMERCIAL EUSEBIA S.A.	13,253.16	0	2	13	0	
110	10,501	Facturas Cuenta Corriente	78,585	78,589	2,097	COMERCIAL EUSEBIA S.A.	26,171.89	0	2	13	0	
111	10,018	Facturas Cuenta Corriente	78,571	78,589	1,969	COMERCIAL EUSEBIA S.A.	25,395.72	0	2	13	0	
112	125	Facturas Cuenta Corriente	78,571	78,589	1,969	COMERCIAL EUSEBIA S.A.	29,889.41	0	2	13	0	
113	53	Facturas Cuenta Corriente	78,571	78,589	1,969	COMERCIAL EUSEBIA S.A.	991	0	2	13	0	
114	10,018	Facturas Cuenta Corriente	78,577	78,589	2,025	COMERCIAL EUSEBIA S.A.	11,451.52	0	2	13	0	
115	125	Facturas Cuenta Corriente	78,577	78,589	2,025	COMERCIAL EUSEBIA S.A.	15,104.64	0	2	13	0	
116	90,103	Facturas Cuenta Corriente	78,577	78,589	2,025	COMERCIAL EUSEBIA S.A.	13,690.55	0	2	13	0	
117	53	Facturas Cuenta Corriente	78,577	78,589	2,025	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
118	58	Facturas Cuenta Corriente	78,577	78,589	2,025	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
119	10,305	Facturas Cuenta Corriente	78,577	78,589	2,025	COMERCIAL EUSEBIA S.A.	6,280.65	0	2	13	0	
120	10,173	Facturas Cuenta Corriente	78,588	78,589	2,143	COMERCIAL EUSEBIA S.A.	2,860.00	0	2	13	0	
121	10,313	Facturas Cuenta Corriente	78,564	78,589	1,896	COMERCIAL EUSEBIA S.A.	81,345.00	0	2	13	0	
122	10,173	Facturas Cuenta Corriente	78,579	78,589	2,051	COMERCIAL EUSEBIA S.A.	4,125.00	0	2	13	0	
123	90,498	Facturas Cuenta Corriente	78,567	78,589	1,945	COMERCIAL EUSEBIA S.A.	19,200.00	0	2	13	0	
124	10,173	Facturas Cuenta Corriente	78,565	78,589	1,915	COMERCIAL EUSEBIA S.A.	825	0	2	13	0	
125	10,501	Facturas Cuenta Corriente	78,565	78,589	1,915	COMERCIAL EUSEBIA S.A.	7,277.68	0	2	13	0	
126	100,080	Facturas Cuenta Corriente	78,572	78,589	94	PIOVANO DANILO PABLO	5,736.79	0	18	13	0	
127	100,080	Facturas Cuenta Corriente	78,572	78,589	95	PIOVANO DANILO PABLO	2,042.53	0	18	13	0	
128	10,200	Facturas Cuenta Corriente	78,576	78,589	29,723,889	API	399	0	21	252	0	
129	60,705	Facturas Cuenta Corriente	78,573	78,589	12,216	Comuna Pueblo Marini	615.12	0	26	0	0	
130	60,705	Facturas Cuenta Corriente	78,581	78,589	20,216,432	COMUNA EUSEBIA	337.75	0	26	13	0	
131	60,705	Facturas Cuenta Corriente	78,581	78,589	20,216,405	COMUNA EUSEBIA	160.71	0	26	13	0	
132	60,705	Facturas Cuenta Corriente	78,581	78,589	2,021,610	COMUNA EUSEBIA	115.63	0	26	13	0	
133	60,705	Facturas Cuenta Corriente	78,581	78,589	2,021,611	COMUNA EUSEBIA	484.63	0	26	13	0	
134	60,705	Facturas Cuenta Corriente	78,581	78,589	202,161	COMUNA EUSEBIA	334.73	0	26	13	0	
135	60,705	Facturas Cuenta Corriente	78,581	78,589	2,021,612	COMUNA EUSEBIA	702.72	0	26	13	0	
136	10,041	Ventas Cuenta Corriente	78,621	78,621	26,344	VERONICA S.A.C.I.A.f.e l.	313,342.51	0	3	126	0	
137	100,072	Nota de Débito Emitida	78,621	78,621	2,824	VERONICA S.A.C.I.A.f.e l.	12,533.70	0	3	126	0	
138	80,304	Facturas Cuenta Corriente	78,619	78,621	133,553	LOS FERTO SRL	447.32	0	5	252	0	
139	80,304	Facturas Cuenta Corriente	78,592	78,621	47,621	OPER.DE ESTAC.DE SERV. SA	376.2	0	5	252	0	
